10.1.1.116,262.985583ms,6.162584ms
10.1.1.116,279.6425ms,75.125µs
10.1.1.116,341.030959ms,88.958µs
10.1.1.111,358.062417ms,69.875µs
10.1.1.116,358.14775ms,55.459µs
10.1.1.112,365.03525ms,60.25µs
10.1.1.111,373.453125ms,61.375µs
10.1.1.114,376.947375ms,6.703791ms
10.1.1.115,413.391708ms,125.375µs
10.1.1.116,413.494542ms,40.125µs
10.1.1.112,413.23225ms,57.125µs
10.1.1.116,430.880333ms,52.917µs
10.1.1.113,453.36875ms,62.542µs
10.1.1.112,465.26725ms,56.209µs
10.1.1.113,476.831583ms,109.666µs
10.1.1.113,488.884417ms,75.542µs
10.1.1.113,500.074542ms,58.167µs
10.1.1.113,509.936916ms,77.833µs
10.1.1.114,516.502792ms,49.75µs
10.1.1.113,521.274209ms,56.167µs
10.1.1.113,200.560958ms,68.458µs
10.1.1.116,592.854709ms,57.5µs
10.1.1.116,596.590959ms,70.042µs
10.1.1.113,597.749792ms,207.541µs
10.1.1.112,596.778541ms,48.125416ms
10.1.1.115,596.788833ms,60.458µs
10.1.1.112,607.179041ms,45.333µs
10.1.1.116,614.924917ms,72.708µs
10.1.1.113,615.037958ms,91.917µs
10.1.1.115,644.8205ms,47.5µs
10.1.1.112,644.9135ms,43.792µs
10.1.1.111,644.838625ms,588.208µs
10.1.1.116,653.367375ms,1.216167ms
10.1.1.113,653.623125ms,161.833µs
10.1.1.114,653.846333ms,39.958µs
10.1.1.114,666.388625ms,59.042µs
10.1.1.115,676.492958ms,87.708µs
10.1.1.113,703.647208ms,51.75µs
10.1.1.113,703.712ms,79.75µs
10.1.1.116,709.050709ms,54.459µs
10.1.1.116,714.552ms,66.042µs
10.1.1.116,735.654417ms,37.209µs
10.1.1.113,742.003458ms,45.417µs
10.1.1.116,754.768ms,574.792µs
10.1.1.114,760.7515ms,48.834µs
10.1.1.111,763.983916ms,60.083µs
10.1.1.112,770.798167ms,94.542µs
10.1.1.114,775.360917ms,38.75µs
10.1.1.113,775.325708ms,37.458µs
10.1.1.114,782.567625ms,31.083µs
10.1.1.115,796.687292ms,84.541µs
10.1.1.112,802.175667ms,88.584µs
10.1.1.112,827.419083ms,278.333µs
10.1.1.113,869.075459ms,49.25µs
10.1.1.112,869.20475ms,43.583µs
10.1.1.113,874.41525ms,35.833µs
10.1.1.114,874.364375ms,6.014042ms
10.1.1.113,874.482667ms,44.334µs
10.1.1.114,884.299709ms,64.25µs
10.1.1.114,884.268333ms,69.583µs
10.1.1.111,896.083792ms,81.542µs
10.1.1.116,899.945333ms,114.666µs
10.1.1.116,900.01175ms,74.334µs
10.1.1.113,921.081541ms,78.666µs
10.1.1.112,924.501333ms,40.583µs
10.1.1.112,933.205375ms,258.166µs
10.1.1.114,936.863041ms,176.625µs
10.1.1.112,939.59525ms,62.125µs
10.1.1.114,943.261125ms,251.042µs
10.1.1.116,970.866209ms,146.625µs
10.1.1.114,970.956542ms,106.25µs
10.1.1.116,976.7515ms,72.209µs
10.1.1.111,986.29575ms,81.292µs
10.1.1.114,1.029188417s,5.056375ms
10.1.1.113,1.029207s,755.541µs
10.1.1.116,1.029240084s,109.667µs
10.1.1.113,1.029210917s,113.917µs
10.1.1.112,1.029159167s,629.5µs
10.1.1.111,1.0291435s,84.083µs
10.1.1.113,1.065877667s,62.292µs
10.1.1.116,1.082871667s,41.25µs
10.1.1.113,1.109492875s,52.083µs
10.1.1.116,1.131440875s,122.167µs
10.1.1.111,772.713375ms,75.75µs
10.1.1.116,1.132299333s,35.459µs
10.1.1.113,1.18496625s,62.375µs
10.1.1.113,1.184762708s,216.333µs
10.1.1.115,811.488042ms,40.333µs
10.1.1.116,788.812041ms,40.25µs
10.1.1.116,837.497708ms,106.958µs
10.1.1.112,825.574625ms,51.583µs
10.1.1.116,1.217547333s,92.25µs
10.1.1.116,792.004584ms,33.208µs
10.1.1.112,1.241411083s,37.083µs
10.1.1.115,827.439ms,54.625µs
10.1.1.114,707.654541ms,11.696042ms
10.1.1.112,659.881375ms,32.083µs
10.1.1.113,1.318695667s,71.084µs
10.1.1.116,678.996333ms,34.875µs
10.1.1.112,847.336292ms,32.25µs
10.1.1.115,659.694167ms,33.833µs
10.1.1.113,612.828334ms,44.084µs
10.1.1.112,869.672458ms,74.875µs
10.1.1.111,507.773625ms,59.541µs
10.1.1.116,811.071167ms,41.167µs
10.1.1.113,848.958958ms,38.584µs
10.1.1.116,811.759208ms,46.375µs
10.1.1.111,505.796625ms,71.584µs
10.1.1.115,781.748333ms,47.417µs
10.1.1.114,773.363959ms,36.167µs
10.1.1.114,829.901375ms,36.208µs
10.1.1.116,1.013319375s,37.479708ms
10.1.1.116,566.657667ms,38µs
10.1.1.113,663.42625ms,53.292µs
10.1.1.112,671.587917ms,91.458µs
10.1.1.111,980.870583ms,31.459µs
10.1.1.112,1.130712584s,57.584µs
10.1.1.114,832.029041ms,29.458µs
10.1.1.116,659.726583ms,41.916µs
10.1.1.115,721.5495ms,33.416µs
10.1.1.111,768.8325ms,41.292µs
10.1.1.113,853.899333ms,35µs
10.1.1.114,860.956916ms,52.666µs
10.1.1.115,685.374792ms,88.583µs
10.1.1.112,229.458458ms,50.209µs
10.1.1.116,1.04936525s,30.292µs
10.1.1.116,788.010417ms,50.916µs
10.1.1.111,769.341042ms,18.634334ms
10.1.1.115,492.192292ms,52.125µs
10.1.1.114,492.398334ms,133.834µs
10.1.1.111,793.927209ms,75.125µs
10.1.1.113,1.210778084s,34.417µs
10.1.1.112,935.670209ms,28.334µs
10.1.1.115,627.992041ms,36.791µs
10.1.1.114,303.092666ms,35.625µs
10.1.1.113,1.117478709s,28.5µs
10.1.1.111,304.623667ms,37.667µs
10.1.1.116,617.382ms,34.542µs
10.1.1.113,648.918042ms,33.833µs
10.1.1.112,716.504667ms,97.625µs
10.1.1.115,511.356917ms,35.5µs
10.1.1.113,787.799167ms,34µs
10.1.1.116,329.688416ms,56.708µs
10.1.1.115,873.832875ms,51.833µs
10.1.1.111,346.381625ms,95.459µs
10.1.1.114,557.784709ms,35.041µs
10.1.1.112,704.985541ms,37.542µs
10.1.1.114,350.2475ms,30.917µs
10.1.1.114,125.49375ms,58.833µs
10.1.1.114,155.760083ms,59.125µs
10.1.1.112,89.523333ms,62.042µs
10.1.1.113,87.432959ms,152µs
10.1.1.114,119.213458ms,123.875µs
10.1.1.115,155.259708ms,91.75µs
10.1.1.112,128.359083ms,43.875µs
10.1.1.112,162.1675ms,58.042µs
10.1.1.116,158.106417ms,77.334µs
10.1.1.116,188.201125ms,277.666µs
10.1.1.115,259.86575ms,59.334µs
10.1.1.114,122.511709ms,66.416µs
10.1.1.115,257.7265ms,189.375µs
10.1.1.111,192.7145ms,88.375µs
10.1.1.114,188.034666ms,40.208µs
10.1.1.113,2.206686708s,13.022667ms
10.1.1.116,229.645334ms,47.542µs
10.1.1.113,125.179625ms,78.708µs
10.1.1.114,51.113584ms,114.333µs
10.1.1.116,167.745542ms,63.041µs
10.1.1.116,137.194459ms,53.958µs
10.1.1.113,79.280167ms,83.375µs
10.1.1.112,202.750292ms,86.375µs
10.1.1.113,68.906542ms,437.125µs
10.1.1.112,84.569083ms,69.25µs
10.1.1.112,82.729291ms,71.958µs
10.1.1.113,82.721792ms,89.125µs
10.1.1.115,92.915333ms,58.542µs
10.1.1.112,124.28725ms,95.666µs
10.1.1.114,112.571625ms,50.042µs
10.1.1.115,88.655292ms,57.583µs
10.1.1.113,112.593334ms,369.708µs
10.1.1.113,159.562ms,85.625µs
10.1.1.116,78.870875ms,111.833µs
10.1.1.116,81.777667ms,96.958µs
10.1.1.114,100.837709ms,299.75µs
10.1.1.114,194.283916ms,83.667µs
10.1.1.112,153.136917ms,47.791µs
10.1.1.116,95.806834ms,70.833µs
10.1.1.115,126.10575ms,104.708µs
10.1.1.111,140.729292ms,55.5µs
10.1.1.113,157.45775ms,124.667µs
10.1.1.116,155.784333ms,124.167µs
10.1.1.114,162.3745ms,93.542µs
10.1.1.115,173.694834ms,193.292µs
10.1.1.112,116.713417ms,209.5µs
10.1.1.115,167.306291ms,1.816791ms
10.1.1.114,76.488875ms,178.458µs
10.1.1.113,112.63275ms,69.459µs
10.1.1.111,76.394291ms,106.5µs
10.1.1.113,87.43075ms,355.792µs
10.1.1.112,98.774416ms,150.084µs
10.1.1.113,230.366792ms,167.333µs
10.1.1.112,99.937834ms,74.708µs
10.1.1.112,60.690834ms,161.416µs
10.1.1.116,147.612959ms,357.042µs
10.1.1.114,308.3965ms,84µs
10.1.1.113,60.769959ms,207.75µs
10.1.1.111,60.84325ms,49.75µs
10.1.1.113,133.609958ms,95.791µs
10.1.1.114,61.905584ms,114.792µs
10.1.1.115,70.551125ms,79.917µs
10.1.1.113,92.036125ms,65.75µs
10.1.1.113,66.06725ms,77.375µs
10.1.1.114,25.069125ms,73.583µs
10.1.1.113,61.0395ms,67.583µs
10.1.1.116,157.551291ms,82.125µs
10.1.1.116,162.488167ms,66.042µs
10.1.1.114,66.096709ms,42.25µs
10.1.1.113,114.511167ms,64.792µs
10.1.1.112,70.596792ms,116.708µs
10.1.1.112,68.006791ms,92µs
10.1.1.113,71.920917ms,36.084µs
10.1.1.111,79.337792ms,72.334µs
10.1.1.114,58.976125ms,78.5µs
10.1.1.114,77.862792ms,14.179583ms
10.1.1.113,148.040792ms,50.084µs
10.1.1.114,55.950875ms,77.166µs
10.1.1.112,72.478291ms,129.709µs
10.1.1.112,33.7225ms,45.875µs
10.1.1.113,114.133667ms,127.416µs
10.1.1.112,55.182667ms,90.25µs
10.1.1.114,73.319416ms,79.709µs
10.1.1.116,149.925542ms,68.417µs
10.1.1.116,72.622917ms,104.667µs
10.1.1.113,100.746041ms,44.041µs
10.1.1.113,100.655583ms,41.792µs
10.1.1.114,61.40075ms,99.667µs
10.1.1.113,75.095916ms,41.833µs
10.1.1.114,76.9595ms,152.083µs
10.1.1.114,77.200959ms,293.5µs
10.1.1.115,43.620458ms,209.25µs
10.1.1.116,195.966584ms,165.958µs
10.1.1.116,168.431917ms,80.208µs
10.1.1.113,176.473042ms,44.916µs
10.1.1.114,156.326958ms,84.666µs
10.1.1.112,179.106791ms,332.959µs
10.1.1.114,126.779917ms,952.916µs
10.1.1.116,376.087167ms,41.25µs
10.1.1.116,365.215833ms,459.208µs
10.1.1.114,142.537416ms,123.5µs
10.1.1.112,99.713375ms,80.167µs
10.1.1.116,376.033333ms,95.791µs
10.1.1.116,130.287792ms,7.0605ms
10.1.1.115,64.299042ms,506.375µs
10.1.1.114,53.366541ms,96.291µs
10.1.1.113,103.7105ms,141.541µs
10.1.1.113,60.205916ms,56.833µs
10.1.1.111,39.443292ms,46.083µs
10.1.1.113,75.247208ms,103.958µs
10.1.1.114,51.246042ms,203µs
10.1.1.115,50.210041ms,288.25µs
10.1.1.111,45.572292ms,76.75µs
10.1.1.113,96.148208ms,285.792µs
10.1.1.114,56.022083ms,118.875µs
10.1.1.114,81.182625ms,92.625µs
10.1.1.113,182.458625ms,75.541µs
10.1.1.114,127.202667ms,80.292µs
10.1.1.113,134.200042ms,155.292µs
10.1.1.113,92.824042ms,84.916µs
10.1.1.112,4.230832375s,61.917µs
10.1.1.113,46.949958ms,83µs
10.1.1.116,89.71375ms,252µs
10.1.1.112,63.013667ms,87.625µs
10.1.1.112,95.81825ms,88.083µs
10.1.1.113,78.492666ms,166.166µs
10.1.1.113,44.639375ms,87.125µs
